Brand,Series,Model,Launch_Year,Price
Apple,iPhone,iPhone 1,2022,₹18875
Apple,iPhone,iPhone 2,2022,₹87980
Apple,iPhone,iPhone 3,2022,₹15084
Apple,iPhone,iPhone 4,2022,₹60711
Apple,iPhone,iPhone 5,2020,₹41116
Apple,iPhone,iPhone 6,2020,₹30677
Apple,iPhone,iPhone 7,2023,₹54920
Apple,iPhone,iPhone 8,2019,₹69912
Apple,iPhone,iPhone 9,2023,₹69580
Apple,iPhone,iPhone 10,2018,₹32641
Apple,iPhone,iPhone 11,2020,₹26972
Apple,iPhone,iPhone 12,2021,₹52017
Apple,iPhone,iPhone 13,2019,₹81498
Apple,iPhone,iPhone 14,2024,₹66465
Apple,iPhone,iPhone 15,2022,₹24954
Apple,iPhone,iPhone 16,2025,₹53154
Apple,iPhone,iPhone 17,2025,₹38855
Apple,iPhone,iPhone 18,2021,₹89754
Apple,iPhone,iPhone 19,2021,₹48507
Apple,iPhone,iPhone 20,2018,₹59961
Samsung,Galaxy S,Galaxy S 1,2022,₹54737
Samsung,Galaxy S,Galaxy S 2,2021,₹99442
Samsung,Galaxy S,Galaxy S 3,2021,₹76944
Samsung,Galaxy S,Galaxy S 4,2024,₹39733
Samsung,Galaxy S,Galaxy S 5,2025,₹19303
Samsung,Galaxy S,Galaxy S 6,2022,₹25088
Samsung,Galaxy S,Galaxy S 7,2023,₹36322
Samsung,Galaxy S,Galaxy S 8,2020,₹86445
Samsung,Galaxy S,Galaxy S 9,2019,₹40604
Samsung,Galaxy S,Galaxy S 10,2019,₹84703
Samsung,Galaxy S,Galaxy S 11,2020,₹17518
Samsung,Galaxy S,Galaxy S 12,2018,₹24383
Samsung,Galaxy S,Galaxy S 13,2021,₹89596
Samsung,Galaxy S,Galaxy S 14,2023,₹83997
Samsung,Galaxy S,Galaxy S 15,2022,₹55950
Samsung,Galaxy S,Galaxy S 16,2023,₹16824
Samsung,Galaxy S,Galaxy S 17,2018,₹81083
Samsung,Galaxy S,Galaxy S 18,2018,₹48359
Samsung,Galaxy S,Galaxy S 19,2021,₹65266
Samsung,Galaxy S,Galaxy S 20,2022,₹64752
Samsung,Galaxy Note,Galaxy Note 1,2024,₹87374
Samsung,Galaxy Note,Galaxy Note 2,2018,₹83273
Samsung,Galaxy Note,Galaxy Note 3,2022,₹23558
Samsung,Galaxy Note,Galaxy Note 4,2025,₹15458
Samsung,Galaxy Note,Galaxy Note 5,2025,₹18195
Samsung,Galaxy Note,Galaxy Note 6,2022,₹64605
Samsung,Galaxy Note,Galaxy Note 7,2019,₹86042
Samsung,Galaxy Note,Galaxy Note 8,2020,₹94597
Samsung,Galaxy Note,Galaxy Note 9,2025,₹52926
Samsung,Galaxy Note,Galaxy Note 10,2021,₹18798
Samsung,Galaxy Note,Galaxy Note 11,2019,₹48587
Samsung,Galaxy Note,Galaxy Note 12,2024,₹80454
Samsung,Galaxy Note,Galaxy Note 13,2018,₹83911
